dept,n_courses,topic_entropy,topic_hhi
21,6,0.867563,0.500000
CSE,9,0.995027,0.407407
EM,24,1.105127,0.378472
21L,132,1.387405,0.349403
21M,196,1.475482,0.343763
CSB,10,1.193550,0.340000
21W,144,1.481628,0.318673
WGS,44,1.522770,0.318182
18,254,1.621039,0.316511
MS,19,1.365369,0.307479
21T,128,1.555819,0.302856
AS,49,1.379686,0.283632
4,529,1.641859,0.269607
24,186,1.679273,0.265291
IDS,80,1.607369,0.261562
21H,193,1.691746,0.253886
CMS,210,1.599879,0.250567
17,271,1.707288,0.250283
21G,424,1.635047,0.248632
SCM,93,1.631326,0.247081
