word,count_1996,count_2024,freq_1996,freq_2024,log_ratio_2024_vs_1996
thermomechanical,0,1,0.00000000,0.00000334,0.000003
thermonic,0,1,0.00000000,0.00000334,0.000003
thermonuclear,0,5,0.00000000,0.00001669,0.000017
these,1,305,0.00026144,0.00101809,0.000756
theses,0,14,0.00000000,0.00004673,0.000047
thesis,9,445,0.00235294,0.00148540,-0.000866
thesmar,0,1,0.00000000,0.00000334,0.000003
theta,0,3,0.00000000,0.00001001,0.000010
they,0,162,0.00000000,0.00054075,0.000541
thg,1,9,0.00026144,0.00003004,-0.000231
thickness,0,3,0.00000000,0.00001001,0.000010
thiel,0,2,0.00000000,0.00000668,0.000007
thilly,0,4,0.00000000,0.00001335,0.000013
thin,0,30,0.00000000,0.00010014,0.000100
thing,0,3,0.00000000,0.00001001,0.000010
things,0,15,0.00000000,0.00005007,0.000050
think,0,20,0.00000000,0.00006676,0.000067
thinker,0,2,0.00000000,0.00000668,0.000007
thinkers,0,12,0.00000000,0.00004006,0.000040
thinking,1,111,0.00026144,0.00037052,0.000109
third,1,19,0.00026144,0.00006342,-0.000198
thirsty,0,4,0.00000000,0.00001335,0.000013
thirty,0,2,0.00000000,0.00000668,0.000007
this,2,170,0.00052288,0.00056746,0.000045
thm,0,1,0.00000000,0.00000334,0.000003
thom,0,2,0.00000000,0.00000668,0.000007
thomas,0,6,0.00000000,0.00002003,0.000020
thompson,0,15,0.00000000,0.00005007,0.000050
thorburn,0,3,0.00000000,0.00001001,0.000010
thoreau,0,3,0.00000000,0.00001001,0.000010
thorough,0,14,0.00000000,0.00004673,0.000047
thoroughly,0,1,0.00000000,0.00000334,0.000003
those,0,118,0.00000000,0.00039388,0.000394
though,0,10,0.00000000,0.00003338,0.000033
thought,0,31,0.00000000,0.00010348,0.000103
thoughtful,0,2,0.00000000,0.00000668,0.000007
thoughtfully,0,1,0.00000000,0.00000334,0.000003
thoughts,0,6,0.00000000,0.00002003,0.000020
thread,0,14,0.00000000,0.00004673,0.000047
threads,0,9,0.00000000,0.00003004,0.000030
threat,0,4,0.00000000,0.00001335,0.000013
threaten,0,1,0.00000000,0.00000334,0.000003
